Individual	Sample	Layer
DS1_H1	DS1_H1_01	L1
DS1_H1	DS1_H1_03	L2
DS1_H1	DS1_H1_06	L3
DS1_H1	DS1_H1_07	L4
DS1_H1	DS1_H1_10	L5
DS1_H1	DS1_H1_13	L6
DS1_H1	DS1_H1_18	WM
DS1_H2	DS1_H2_01	L1
DS1_H2	DS1_H2_02	L2
DS1_H2	DS1_H2_06	L3
DS1_H2	DS1_H2_08	L4
DS1_H2	DS1_H2_11	L5
DS1_H2	DS1_H2_14	L6
DS1_H2	DS1_H2_18	WM
DS1_H3	DS1_H3_02	L2
DS1_H3	DS1_H3_05	L3
DS1_H3	DS1_H3_06	L4
DS1_H3	DS1_H3_10	L5
DS1_H3	DS1_H3_13	L6
DS1_H3	DS1_H3_18	WM
DS1_H4	DS1_H4_03	L3
DS1_H4	DS1_H4_06	L4
DS1_H4	DS1_H4_09	L5
DS1_H4	DS1_H4_12	L6
DS1_H4	DS1_H4_18	WM
